i,x_(k-1),f(x_(k-1)),f'(x_(k-1)),x_k,|x_k - x_(k-1)| < e
0,0,-1.0,3.0,0.3333333333333333,False
1,0.3333333333333333,-0.11724974764829232,2.278290279648071,0.3847972528767218,False
2,0.3847972528767218,-0.0031031967542640704,2.1572800514051442,0.3862357294214072,False
3,0.3862357294214072,-2.4580363520709803e-06,2.153862176850607,0.38623687064408085,True
