i,x_(k-1),f(x_(k-1)),f'(x_(k-1)),x_k,|x_k - x_(k-1)| < e
0,2,-0.09070257317431829,-2.4161468365471426,1.9624598257844548,False
1,1.9624598257844548,-0.002053578861683003,-2.3066461252349124,1.9615695380028932,False
2,1.9615695380028932,-1.1589532205036335e-06,-2.3040425274602723,1.961569034994287,True
