i,x0,f(x0),x1,f(x1),x_k,f(x_k),|x_k - x_(k-1)| < tol
0,0,-1.0,2,-0.09070257317431829,2.199500340589233,-0.6300107140692598,False
1,2,-0.09070257317431829,2.199500340589233,-0.6300107140692598,1.9664473927455115,-0.011274729696087227,False
2,2.199500340589233,-0.6300107140692598,1.9664473927455115,-0.011274729696087227,1.9622006557556204,-0.0014558635304794398,False
3,1.9664473927455115,-0.011274729696087227,1.9622006557556204,-0.0014558635304794398,1.9615709833063943,-4.488997006668605e-06,False
4,1.9622006557556204,-0.0014558635304794398,1.9615709833063943,-4.488997006668605e-06,1.9615690357748135,-1.7987350497961074e-09,True
