i,x_k,x_(k+1) = phi(x_k),|x_(k+1) - x_k| < e
0,0,1.0,False
1,1.0,1.8414709848078965,False
2,1.8414709848078965,1.9635907245418334,False
3,1.9635907245418334,1.9238430524420609,False
4,1.9238430524420609,1.938323639041627,False
5,1.938323639041627,1.9332186565355136,False
6,1.9332186565355136,1.9350407543894885,False
7,1.9350407543894885,1.9343931955352627,False
8,1.9343931955352627,1.9346236881728232,False
9,1.9346236881728232,1.934541691349568,True
